tree_node,pair_age,sp1,sp2,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um,abaxial_stomatal_area_um2,adaxial_stomatal_area_um2,abaxial_gmax,adaxial_gmax,abaxial_fs,adaxial_fs,chromostome_number_2n,ploidy_level_x,dna_amount_2c_pg,pair
894,10.641989000300185,Primula_auriculata,Primula_macrocalyx,-0.005773543985339913,-0.3238228176151883,-0.014853183191380515,-2.8118776113617017e-4,-0.02970636638276103,-5.623755222718962e-4,-0.02062672717672019,-0.3241040053763244,-0.03547991036810072,-0.3243851931374604,NA,NA,NA,159
892,32.2134320003002,Soldanella_alpina,Androsace_villosa,0.6024184680151776,-2.1057825978144415,-0.06722461789887091,-0.059786158928822886,-0.13444923579774182,-0.11957231785764577,0.5351938501163066,-2.1655687567432644,0.4679692322174358,-2.2253549156720878,NA,NA,NA,193
910,8.687016000300218,Cerastium_holosteoides,Cerastium_szowitsii,0.1501555249612816,-0.15126767533064922,-0.008527795379464687,0,-0.017055590758929373,0,0.1416277295818168,-0.15126767533064922,0.133099934202352,-0.15126767533064922,NA,NA,NA,55
908,16.345154000300212,Cerastium_glomeratum,Stellaria_media,-0.2624510897304293,-0.5949815241655134,0.012837224705172234,0.021331973975389218,0.02567444941034447,0.04266394795077799,-0.24961386502525718,-0.5736495501901244,-0.23677664032008505,-0.5523175762147354,NA,NA,NA,54
975,5.241272000300228,Vicia_grandiflora,Vicia_faba,0.5351479995405553,-0.018483405694013078,-0.28800948567147033,-0.2855178294857337,-0.5760189713429407,-0.5710356589714674,0.2471385138690852,-0.30400123517974675,-0.04087097180238519,-0.5895190646654802,0.06694678963061307,0,-0.6053377010891984,229
973,8.980356000300219,Vicia_hybrida,Vicia_amoena,-0.4031412023578451,1.8305886686851442,0.15129284379763197,-0.06063204314389514,0.30258568759526394,-0.12126408628779028,-0.25184835856021326,1.7699566255412493,-0.10055551476258096,1.709324582397354,-0.30102999566398103,-0.3010299956639812,-0.1019895385373315,230
1020,5.9418050003002065,Acacia_longifolia,Acacia_melanoxylon,0.28741410156739455,0.1406394744260968,-0.043787897697770584,-0.010041938294140573,-0.08757579539554117,-0.020083876588281147,0.24362620386962386,0.1305975361319561,0.19983830617185316,0.12055559783781544,NA,NA,NA,2
1018,25.530201000300195,Acacia_baileyana,Acacia_farnesiana,0.45944322211152944,0.023009094437022704,-0.15836579330005063,-0.1524140837849317,-0.31673158660010126,-0.3048281675698634,0.3010774288114787,-0.12940498934790878,0.14271163551142796,-0.2818190731328405,NA,NA,0.2066087830596195,1
1205,3.764197000300186,Paspalum_macrophyllum,Paspalum_distichum,-0.05479312462235031,-1.0732182989881194,0.027097074620525685,0.04297466186401189,0.05419414924105137,0.08594932372802422,-0.02769605000182456,-1.0302436371241073,-5.989753812987164e-4,-0.9872689752600952,NA,NA,NA,144
1203,12.746661000300193,Paspalum_dilatatum,Hymenachne_indica,-0.06607631773557499,-0.3427210624504351,-0.2175799334146855,-0.21000025466403938,-0.435159866829371,-0.4200005093280783,-0.2836562511502604,-0.5527213171144743,-0.501236184564946,-0.7627215717785139,NA,NA,NA,143
1231,3.5658460003002403,Alopecurus_apiatus,Alopecurus_arundinaceus,-0.3018863110552512,-0.3113971529820516,0.10054898258374867,0.08557219123300386,0.20109796516749734,0.17114438246600727,-0.20133732847150254,-0.22582496174904804,-0.1007883458877541,-0.14025277051604412,NA,NA,NA,14
1229,7.978319000300232,Poa_aitchisonii,Helictotrichon_pubescens,0.28448249877172915,-0.005918413438097625,-0.03922620780871289,-0.017015493169382445,-0.07845241561742577,-0.034030986338764446,0.2452562909630163,-0.02293390660747993,0.20603008315430338,-0.03994939977686229,NA,NA,NA,155
1235,4.5117160003002255,Agrostis_canina,Calamagrostis_epigeios,0.07327856421193801,0.30839109531035014,-0.12354347769445018,-0.22104746805712838,-0.2470869553889008,-0.44209493611425676,-0.05026491348251222,0.08734362725322199,-0.17380839117696256,-0.1337038408039064,NA,NA,-0.18905623622004886,10
1233,13.157304000300229,Briza_media,Phalaris_arundinacea,0.7037588759343325,0.3009813379437012,-0.12544615843070694,-0.1417699687994678,-0.25089231686141367,-0.28353993759893603,0.5783127175036257,0.1592113691442334,0.45286655907291906,0.01744140034476538,0.30102999566398125,0.3010299956639812,-0.10321948691506355,36
1238,0.711074000300215,Avena_barbata,Avena_sativa,0.6220176334117802,0.19634713994355613,-0.3868103714603073,-0.4275800247724697,-0.7736207429206148,-0.8551600495449394,0.23520726195147282,-0.23123288482891363,-0.1516031095088346,-0.6588129096013833,0.17609125905568135,0.17609125905568124,0.19455997054787266,29
1236,7.871432000300217,Avena_eriantha,Arrhenatherum_elatius_var._subhirsutum,0.5684209071865316,0.12709844133182302,0.049419234137336954,0.0544964810809756,0.09883846827467391,0.1089929621619512,0.6178401413238683,0.18159492241279865,0.6672593754612055,0.23609140349377444,-0.30102999566398125,-0.3010299956639812,-0.1963722046551848,30
1247,1.543361000300223,Hordeum_vulgare,Hordeum_bulbosum,0.23272591874585635,0.190857867843373,-0.2436778951837939,-0.2667572395380904,-0.4873557903675878,-0.5335144790761812,-0.010951976437937418,-0.07589937169471744,-0.25462987162173145,-0.342656611232808,0,0,0.09297971937962413,104
1245,2.784493000300216,Hordeum_vulgare_var._hexastichon,Hordeum_violaceum,-0.4522753588632116,-0.42756582436545787,0.1149672517970064,0.09620326837380744,0.2299345035940128,0.19240653674761488,-0.3373081070662052,-0.33136255599165054,-0.22234085526919856,-0.23515928761784322,NA,NA,NA,103
978,9.168251000300216,Lathyrus_pratensis,Lathyrus_rotundifolius,-0.03075536633628828,0.38938577637591343,0.022646416444282558,0.049173481930498086,0.045292832888565115,0.09834696386099617,-0.00810894989200564,0.43855925830641124,0.014537466552276834,0.4877327402369094,NA,NA,NA,114
976,9.943572000300222,Lathyrus_cyaneus,Lathyrus_laxiflorus,-0.10757267839015272,0.04173543085812037,0.0035974898177912884,0.005714483524429603,0.007194979635582577,0.011428967048858762,-0.10397518857236165,0.047449914382549765,-0.10037769875457037,0.05316439790697913,NA,NA,NA,113
1088,23.821285000000216,Alliaria_petiolata,Thlaspi_arvense,0.11072092195399286,1.3351377666884896,-0.00869194572530474,0.3229550754806927,-0.01738389145060948,0.6459101509613856,0.102028976228688,1.6580928421691823,0.09333703050338316,1.9810479176498754,NA,NA,-0.414330424860207,12
