source_id,trait,mu,n,sd,source,se
Lotus dendroideus,adaxial_stomatal_density_mm2,69.02126626200001,25,2.074320645717526,arambarri_taxonomy_2005,NA
Lotus dendroideus,adaxial_stomatal_length_um,26.3,25,1.2849094689666196,arambarri_taxonomy_2005,NA
Lotus dendroideus,adaxial_stomatal_width_um,19.5,25,1.8578481271487155,arambarri_taxonomy_2005,NA
Lotus hamatus,abaxial_stomatal_density_mm2,133.982458038,25,1.951166012269217,arambarri_taxonomy_2005,NA
Lotus hamatus,abaxial_stomatal_length_um,21.4,25,1.275761578366964,arambarri_taxonomy_2005,NA
Lotus hamatus,abaxial_stomatal_width_um,18.2,25,1.2678387223607208,arambarri_taxonomy_2005,NA
Lotus hamatus,adaxial_stomatal_density_mm2,101.50186215,25,4.148641289692762,arambarri_taxonomy_2005,NA
Lotus hamatus,adaxial_stomatal_length_um,22.4,25,1.2769759079223175,arambarri_taxonomy_2005,NA
Lotus hamatus,adaxial_stomatal_width_um,19.2,25,1.440331248998413,arambarri_taxonomy_2005,NA
Lotus heermannii,abaxial_stomatal_density_mm2,267.964916076,25,2.074320645715389,arambarri_taxonomy_2005,NA
Lotus heermannii,abaxial_stomatal_length_um,25,25,2.5545352067774725,arambarri_taxonomy_2005,NA
Lotus heermannii,abaxial_stomatal_width_um,22,25,2.540772133107651,arambarri_taxonomy_2005,NA
Lotus heermannii,adaxial_stomatal_density_mm2,223.30409673000003,25,7.240624467128383,arambarri_taxonomy_2005,NA
Lotus heermannii,adaxial_stomatal_length_um,24.6,25,3.807763765457275,arambarri_taxonomy_2005,NA
Lotus heermannii,adaxial_stomatal_width_um,22.7,25,3.831412504548856,arambarri_taxonomy_2005,NA
Lotus incanus,abaxial_stomatal_density_mm2,133.982458038,25,1.951166012269217,arambarri_taxonomy_2005,NA
Lotus incanus,abaxial_stomatal_length_um,26.3,25,1.2849094689666196,arambarri_taxonomy_2005,NA
Lotus incanus,abaxial_stomatal_width_um,23.6,25,1.275761578366964,arambarri_taxonomy_2005,NA
Lotus incanus,adaxial_stomatal_density_mm2,105.561936636,25,4.148641289692762,arambarri_taxonomy_2005,NA
Lotus incanus,adaxial_stomatal_length_um,26.3,25,1.2849094689666196,arambarri_taxonomy_2005,NA
Lotus incanus,adaxial_stomatal_width_um,23.1,25,1.2693132215699745,arambarri_taxonomy_2005,NA
Lotus junceus,abaxial_stomatal_density_mm2,101.50186215,25,8.297282584252219,arambarri_taxonomy_2005,NA
Lotus junceus,abaxial_stomatal_length_um,24.4,25,2.5495615867770836,arambarri_taxonomy_2005,NA
Lotus junceus,abaxial_stomatal_width_um,19.6,25,2.5522473560415055,arambarri_taxonomy_2005,NA
Lotus junceus,adaxial_stomatal_density_mm2,113.682085608,25,0.04978707292483459,arambarri_taxonomy_2005,NA
Lotus junceus,adaxial_stomatal_length_um,23.6,25,2.535677450967196,arambarri_taxonomy_2005,NA
Lotus junceus,adaxial_stomatal_width_um,19,25,2.5423279240223327,arambarri_taxonomy_2005,NA
Lotus nevadensis,abaxial_stomatal_density_mm2,138.04253252400002,25,5.161020382633179,arambarri_taxonomy_2005,NA
Lotus nevadensis,abaxial_stomatal_length_um,22.8,25,1.2747807924951282,arambarri_taxonomy_2005,NA
Lotus nevadensis,abaxial_stomatal_width_um,17,25,1.2711639651443312,arambarri_taxonomy_2005,NA
Lotus nevadensis,adaxial_stomatal_density_mm2,85.261564206,25,2.074320645717526,arambarri_taxonomy_2005,NA
