resolved_name,family,source,source_id,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um,phy_name,grass,c,h,j,m,b,abaxial_stomatal_area_um2,adaxial_stomatal_area_um2,abaxial_gmax,adaxial_gmax,abaxial_fs,adaxial_fs,genus,subspecies,chromostome_number_2n,ploidy_level_x,c_value_reference,c_value_note,dna_amount_2c_pg
Miscanthus_sinensis,Poaceae,kawamitsu_stomatal_1996,Miscanthus sinensis,292.2,162.9,33.3,34.2,Miscanthus_sinensis,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,138.61124999999998,146.205,2.332782727261263,1.33566343288498,0.04050220725,0.023816794500000002,Miscanthus,var. condensatus 'Cosmopolitan',38,2,chae_plant_2014,used diploid,5.22
Molinia_caerulea,Poaceae,bucher_stomatal_2017,Molinia caerulea (L.) Moench,37.5,204.2,35,35.1,Molinia_caerulea,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,153.125,154.00125,0.3146655207086355,1.718354244904753,0.0057421875,0.031447055249999994,Molinia,NA,36,4,mowforth_intra-population_1989,NA,5
Muscari_neglectum,Asparagaceae,zarinkamar_density_2006,Muscari neglectum,75.53,98.76,37.222,34.444,Muscari_neglectum,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,692.738642,593.1945680000001,0.9547567311874985,1.1552293156691844,0.05232254963026001,0.05858389553568001,Muscari,NA,NA,NA,NA,NA,NA
Myoporum_laetum,Scrophulariaceae,huang_leaf_2019,Myoporum laetum,115.07,71.84,29.01,30.38,Myoporum_laetum,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,420.79005000000006,461.4722,1.1336614566558074,0.741186725518524,0.048420311053500004,0.033152162848,Myoporum,NA,NA,NA,NA,NA,NA
Myoporum_serratum,Scrophulariaceae,gindel_stomatal_1969,Myoporum serratum,200,99,30,30,Myoporum_serratum,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,450,450,2.037627483717357,1.0086256044400916,0.09,0.04455,Myoporum,NA,NA,NA,NA,NA,NA
Myosotis_silvatica,Boraginaceae,zarinkamar_stomatal_2007,Myosotis silvatica,171.87,85.47,25.6,25.55,Myosotis_silvatica,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,327.68000000000006,326.40125,1.4942166853397427,0.7416143895668983,0.056318361600000005,0.027897514837499998,Myosotis,NA,NA,NA,NA,NA,NA
Myosurus_minimus,Ranunculaceae,avita_structure_1980,Myosurus minimus,91.7,113.6,31.3,31.7,Myosurus_minimus,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,489.845,502.445,0.9747364633400658,1.222956847360708,0.0449187865,0.05707775199999999,Myosurus,NA,16,2,bennett_nuclear_1976,NA,2.2
Nepeta_betonicifolia,Lamiaceae,zarinkamar_stomatal_2007,Nepeta betonicifolia,175.38,86.01,24.38,26.217,Nepeta_betonicifolia,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,297.19219999999996,343.66554449999995,1.4520691758900424,0.7657825770817582,0.05212156803599999,0.029558673482444994,Nepeta,NA,NA,NA,NA,NA,NA
Nepeta_haussknechtii,Lamiaceae,zarinkamar_stomatal_2007,Nepeta haussknechtii,288.3,68,23.42,25.22,Nepeta_haussknechtii,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,274.24820000000005,318.02419999999995,2.293005373879137,0.5824082715793197,0.07906575606000002,0.021625645599999996,Nepeta,NA,NA,NA,NA,NA,NA
Neslia_apiculata,Brassicaceae,zarinkamar_stomatal_2007,Neslia apiculata,320,248.3,22.5,21.9,Neslia_apiculata,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,253.125,239.80499999999998,2.4451529804608283,1.846691600355622,0.08099999999999999,0.0595435815,Neslia,NA,NA,NA,NA,NA,NA
